Timestamp,Feed 1 Count,Feed 2 Count,Feed 3 Count,Feed 4 Count
2024-10-11 09:12:58,29,20,18,13
2024-10-11 09:13:18,32,18,19,14
2024-10-11 09:13:38,28,16,19,13
2024-10-11 09:13:58,29,14,16,12
2024-10-11 09:14:18,27,14,16,13
2024-10-11 09:14:38,28,15,18,17
2024-10-11 09:14:58,28,18,13,16
2024-10-11 09:15:18,29,15,12,18
2024-10-11 09:15:38,29,18,9,15
2024-10-11 09:15:58,27,14,12,16
2024-10-11 09:16:18,28,19,19,15
2024-10-11 09:16:38,31,17,20,14
2024-10-11 09:16:58,30,18,19,15
2024-10-11 09:17:18,29,13,20,14
2024-10-11 09:17:38,29,13,20,14
2024-10-11 20:47:04,29,17,19,14
2024-10-11 20:47:24,28,16,19,13
